"Index"
"(B1) / (B2) / (B1) * (B2)"
"(B1) / (B2) / (B1) / (B2)"
"(B2 + B1)"
"(B2 + B1) + (B2 + B1)"
"(B2 + B1) + (B2 - B1)"
"(B2 + B1) + (B2) * (B1)"
"(B2 + B1) + (B2) / (B1)"
"(B2 + B1) - (B2 + B1)"
"(B2 + B1) - (B2 - B1)"
"(B2 + B1) - (B2) * (B1)"
"(B2 + B1) - (B2) / (B1)"
"(B2 + B1) * (B2 + B1)"
"(B2 + B1) * (B2 - B1)"
"(B2 + B1) * (B2) * (B1)"
"(B2 + B1) * (B2) / (B1)"
"(B2 + B1) / (B2 + B1)"
"(B2 + B1) / (B2 - B1)"
"(B2 + B1) / (B2) * (B1)"
"(B2 + B1) / (B2) / (B1)"
"(B2 - B1)"
"(B2 - B1) + (B2 + B1)"
"(B2 - B1) + (B2 - B1)"
"(B2 - B1) + (B2) * (B1)"
"(B2 - B1) + (B2) / (B1)"
"(B2 - B1) - (B2 + B1)"
"(B2 - B1) - (B2 - B1)"
"(B2 - B1) - (B2) * (B1)"
"(B2 - B1) - (B2) / (B1)"
"(B2 - B1) * (B2 + B1)"
"(B2 - B1) * (B2 - B1)"
"(B2 - B1) * (B2) * (B1)"
"(B2 - B1) * (B2) / (B1)"
"(B2 - B1) / (B2 + B1)"
"(B2 - B1) / (B2 - B1)"
"(B2 - B1) / (B2) * (B1)"
"(B2 - B1) / (B2) / (B1)"
"(B2) * (B1)"
"B2 * (B1 + B2) + B1"
"B2 * (B1 + B2) - B1"
"B2 * (B1 + B2) * B1"
"B2 * (B1 + B2) / B1"
"B2 * (B1 - B2) + B1"
"B2 * (B1 - B2) - B1"
"B2 * (B1 - B2) * B1"
"B2 * (B1 - B2) / B1"
"(B2) * (B1) * (B2 + B1)"
"(B2) * (B1) * (B2 - B1)"
"(B2) * (B1) * (B2) * (B1)"
"(B2) * (B1) * (B2) / (B1)"
"(B2) * (B1) / (B2 + B1)"
"(B2) * (B1) / (B2 - B1)"
"(B2) * (B1) / (B2) * (B1)"
"(B2) * (B1) / (B2) / (B1)"
"(B2) / (B1)"
"B2 / (B1 + B2) + B1"
"B2 / (B1 + B2) - B1"
"B2 / (B1 + B2) * B1"
"B2 / (B1 + B2) / B1"
"B2 / (B1 - B2) + B1"
"B2 / (B1 - B2) - B1"
"B2 / (B1 - B2) * B1"
"B2 / (B1 - B2) / B1"
"(B2) / (B1) * (B2 + B1)"
"(B2) / (B1) * (B2 - B1)"
"(B2) / (B1) * (B2) * (B1)"
"(B2) / (B1) * (B2) / (B1)"
"(B2) / (B1) / (B2 + B1)"
"(B2) / (B1) / (B2 - B1)"
"(B2) / (B1) / (B2) * (B1)"
"(B2) / (B1) / (B2) / (B1)"
"(B1 + B3)"
"(B1 + B3) + (B1 + B3)"
"(B1 + B3) + (B1 - B3)"
"(B1 + B3) + (B1) * (B3)"
"(B1 + B3) + (B1) / (B3)"
"(B1 + B3) - (B1 + B3)"
"(B1 + B3) - (B1 - B3)"
"(B1 + B3) - (B1) * (B3)"
"(B1 + B3) - (B1) / (B3)"
"(B1 + B3) * (B1 + B3)"
"(B1 + B3) * (B1 - B3)"
"(B1 + B3) * (B1) * (B3)"
"(B1 + B3) * (B1) / (B3)"
"(B1 + B3) / (B1 + B3)"
"(B1 + B3) / (B1 - B3)"
"(B1 + B3) / (B1) * (B3)"
"(B1 + B3) / (B1) / (B3)"
"(B1 - B3)"
"(B1 - B3) + (B1 + B3)"
"(B1 - B3) + (B1 - B3)"
"(B1 - B3) + (B1) * (B3)"
"(B1 - B3) + (B1) / (B3)"
"(B1 - B3) - (B1 + B3)"
"(B1 - B3) - (B1 - B3)"
"(B1 - B3) - (B1) * (B3)"
"(B1 - B3) - (B1) / (B3)"
"(B1 - B3) * (B1 + B3)"
"(B1 - B3) * (B1 - B3)"
"(B1 - B3) * (B1) * (B3)"
